,summary,access,interaction,house_rules,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,requires_license,instant_bookable,cancellation_policy,reviews_per_month
1,"Charming and quiet room in a second floor 1910 condo building. The room has a full size bed, darkening curtains, window A/C unit. It's quiet because it's in the back of the house. Shared bathroom. Guests can use kitchen, living room. Pet friendly.",Apt has one more bedroom (which I use) and large living space and kitchen that you can use.  Possibility to do laundry. Two porches.,"If I am at home, I am likely working in my home office, which is a separate room. I can help you settle in and give you tips and directions on the neighborhood and Boston. ",Pet friendly but please confirm with me if the pet you are planning on bringing with you is OK. I have a cute and quiet mixed chihuahua. I could accept more guests (for an extra fee) but this also needs to be confirmed beforehand. Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch.,2012-06-07,within an hour,100%,100%,f,1,Roslindale,Roslindale,,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron}",,65.0,$95.00,$10.00,0,$0.00,2,15,36,94.0,f,t,moderate,1.3
2,"Come stay with a friendly, middle-aged guy in the safe and quiet Roslindale neighborhood of Boston. You will have you own clean, furnished room (with cable TV, Wi-Fi, and a desk to work at) in an apartment that is filled with Mexican folk art. ","I am living in the apartment during your stay, and I work from home, so I'm there most of the time.  Guests are welcome to use the kitchen and all cooking utensils, refrigerator, etc. I have a gas stove, toaster oven, microwave, convection oven and a pressure cooker! I have a backyard garden, so if you are here during August and September, be prepared for tomatoes and cucumbers! In addition to your personal room, you can also use the living room which includes a 32-inch HDTV with an Apple TV connection.  The bathroom, adjacent to your room, is shared.  The only room that is off limits is my bedroom on the opposite side of the apartment. I have a clothes washer and dryer in the basement for your use. ","ABOUT ME: I'm a laid-back, friendly, unmarried guy. I work from home, spending a lot of time on the computer. I have an website that sells handmade things from Mexico. It is called ""Viva Oaxaca Folk Art."" You will see lots of folk art in the apartment. I also run websites for other small companies. I don’t smoke, don’t have overnight guests. I keep regular hours, am friendly, considerate and quiet. I am one of the original Boston AIRBNB hosts, having signed-up with them in 2008.   I am a big traveler myself, and I love hearing stories of where guests have been or where they are heading to next. ","I encourage you to use my kitchen, cooking and laundry facilities. There is no additional charge to use the washer/dryer in the basement.  No smoking, inside or outside. Come home as late as you want.  If you come home stumbling drunk, it's OK the first time. If you do it again, and you wake up me or the neighbors downstairs, we will be annoyed.  (Just so you know . . . )",2009-05-11,within a few hours,100%,88%,t,1,Roslindale,Roslindale,,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",Essentials,Shampoo,""Lock on Bedroom Door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,65.0,,,1,$20.00,3,45,41,98.0,f,f,moderate,0.47
3,"Come experience the comforts of home away from home in our fabulous bedroom suite available in Roslindale, a neighborhood in Boston.  Enjoy sleeping on a large king sized bed with plush down bedding, access to a dishwasher, washer dryer and home gym. The house is incredibly accessible to public transportation and the center of Boston. Free street parking is available right in front of the house. Weekend farmers markets, restaurants and grocery stores are a 10 min walk away from the house.","The basement has a washer dryer and gym area. There is a smart TV you can use while in the gym.  Your iPhone can be hooked up to the speakers in the treadmill.  Also, there's a weight bench, weights, and a boxing bag.  On the ground floor, you will have access to the kitchen and sunroom.  There is a designated drawer with pots and pans, utensils and dishes you can use.  The formal living room and dining room are permissible for light usage only. Please do not take any food or drink into these areas other than water. On the 2nd floor, you will have access to your bedroom, attached living room and detached bathroom which is shared.  The trash is located in the kitchen and the recycling bins are located to the left of the dishwasher. Additional trash liners are provided under the sink should you need them. The trash barrels are located in front of the garage should the trash bins get full and you need to throw your garbage out. The blue bin is for recycling.","We do live in the house therefore might be some interaction.  The house is large so it allows the people within it to interact as little or as much as is preferred.  During the weekends, we are less likely to be at home especially during the day.  Some weekends, we may not even be there at all.  Upon your booking we will be able to tell you whether or not we will be there so that you will know what to expect.  We respect the privacy of our guests so we will interact as much or as little with you as you would like.  It is all based on your preference.","- The bathroom and house are shared so please respect the privacy of others living in the home.  The sunroom and the patio in the yard are available for you to use.  There is a Keurig in the Kitchen is free for you to use.  There is a washer and dryer in the basement which you can use.  The formal living or dining areas are available for light use only.  You may only take water into these areas.  Please do not take food into any part of the house other than the kitchen, sunroom or back patio.  Additional guests to the ones already committed to staying on the premises is not permitted.",2013-04-21,within a few hours,100%,50%,f,1,,Roslindale,,f,House,Private room,4,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Gym,Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,75.0,$100.00,$50.00,2,$25.00,1,1125,1,100.0,f,f,moderate,1.0
4,"My comfy, clean and relaxing home is one block away from the bus line, on a quiet residential street.  Private room includes two comfortable single beds.  Full bath and half bath may be shared with 1-2 other guests.  Light breakfast included. AC","You will have access to the front and side porches, the living room with TV, and the kitchen/dining area.","I love my city and really enjoy sharing it with guests!  I live in the home and  share the kitchen and common spaces; my room is on the third floor.  I work full-time, and am out a lot.    I will be happy to provide you any information that would be helpful in navigating Boston.  It's a wonderful city and I hope to help make your visit here enjoyable. I suggest you get the ""What's App?"" phone app if you are traveling internationally; we can text for free with it.","Please no smoking in the house, porch or on the property (you can go to the nearby corner).  Reasonable quiet after 10:30 pm.  Please remove shoes in the house.",2014-05-11,within an hour,100%,100%,t,1,Roslindale,Roslindale,,t,House,Private room,2,1.5,1.0,2.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}",,79.0,,$15.00,1,$0.00,2,31,29,99.0,f,f,flexible,2.25
5,"Super comfy bedroom plus your own bathroom in our big, sunny condo. Roslindale is an outer neighborhood of Boston. For guests interested in downtown Boston, we are a 45-minute ride via public transportation. We're also just steps from the Arnold Arboretum, nature's gift to Boston. Driveway parking is available.",Guests are welcome to share our living room and refrigerator space.,We're busy but always happy to have guests in our home and to answer questions about Roslindale and Boston. I make a big pot of great coffee every morning.,"No smoking, please, and no drugs.",2016-03-23,within a few hours,100%,95%,t,2,Roslindale,Roslindale,,t,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Hangers,Iron}",,75.0,,$30.00,1,$0.00,2,1125,8,100.0,f,f,flexible,1.7
6,"It's a 5 minute walk to Rosi Square to catch the train to downtown Boston (15 min ride). HUGE basement studio apartment  (736 sq/68 sq meters)  with separate private entrance under the back deck-low entrance on exterior (60"") Tall interior height 99"". King size bed in the bedroom area which is separated by a 3/4 wall from the  open plan living area. The leather couch converts to a bed (44wide) for a single guest.",I have an electronic keypad so arrival time can be flexible. Guests can use the backyard and driveway in addition to the apartment. The rest of the house is occupied by me or may be a separate rental.,I can interact or not- that is up to you. This studio has a separate entrance so we do not have to interface if you don't want to.  I live in the rest of the house or it may be a rental.,Please no shoes in the house so bring slippers or extra socks to keep your feet warm- especially in winter! No smoking either inside or outside. Please be considerate of neighbors from 10pm-7am in terms of noise. Please take out any trash and leave in the large blue garbage bin at the end of the driveway when you leave.,2013-05-25,within an hour,98%,96%,f,5,,Roslindale,,f,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in""}",,100.0,,,1,$25.00,1,1125,57,90.0,f,f,strict,4.0
7,"We can accommodate guests who are gluten-free, vegan and/or vegetarian.  We'll spoil you in our beautifully maintained grand two family home built circa 1924 with spectacular views of the nearby Boston skyline. You'll be treated to a delicious continental breakfast each morning. You will find yourself in a quiet neighborhood only a 4 minute walk to the bus. On street parking available. Sleep in a comfortable spacious queen-size bed and awake to the melodious sounds of birds chirping.","Amenities include an evening snack upon arrival, continental style breakfast (Please let us know of food allergies, or other dietary needs.), wireless internet, washer, dryer, and detergent), and on street overnight parking.  We have an outside deck overlooking our spacious back yard.  Feel free to relax on the deck or in the yard. You will be a mere one mile walk to restaurants, convenient shopping including, CVS, Staples, and more.  We are also close to major shopping areas.  Lots of on street parking available.  An easy trip into downtown Boston by car or by public transportation.  We'll tell you some of our favorite things to do.","We will share with you tips about the area - restaurants, shopping, getting around.  And, we will have fun learning about each other.  We love meeting new people from all over.  We are present at the listing during our guests' stays.  The only time we leave is when we have to go to work.  Before we leave, breakfast is always prepared and set up for our guests.  They rave about our home-baked muffins.  We have membership with the Museum of Science and we share our passes with our guests. Marilyn speaks Spanish and Alan speaks Hebrew so if you speak English as a second language, we can help you out. ","House Guidelines for our BnB We are delighted to welcome you.  Check in Sun – Thurs by 8PM and Fri, Sat by 9pm. Please bear in mind that this is not a hotel but our home and we are opening it to you.  We will do our utmost to make your stay enjoyable and fun.  We ask that you take care to respect our home and its appearance.  Thank you.  Marilyn and Alan 1.ROOMS - The bedroom is yours for the duration of your stay.  Be sure to let us know if you need something.  Please keep it neat and tidy and take advantage of the closet and bureau for your belongings.  We do ask that you turn off lights, air conditioner, fan, etc. when you are not in the room. Thank you. 2.LIGHTS – Please, too, remember to turn off lights on the stairway when returning.   3.KEYS - 2 house keys are provided - Replacement cost is $15 each 4.PARKING – Parking is available on street at all times.   5.SHOES – When the weather is inclement please remove shoes.   6.TOILETRIES - If you need them we can provide basic toiletr",2012-08-05,within a few hours,100%,100%,t,2,Roslindale,Roslindale,,t,House,Private room,2,2.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,75.0,,$10.00,1,$15.00,1,1125,67,96.0,f,f,moderate,2.38
8,"Nice and cozy apartment about 6 miles away to downtown Boston, and only  30 minutes via public transportation with plenty of street parking. It is a 5 minute walk from Roslindale Village where you can find public transportation.",,,"- Please clean up after yourself when using the kitchen. - When using the bathroom, please be careful to minimize the amount of water on the floor when showering and using the sink. - Please make sure to remove any strands of hair from the sink and floors with a tissue or paper towel. - Be respectful of the noise levels after 11pm.  - Please be quiet coming in late or leaving early. - No Smoking  - No Pets - No overnight guests - For safety reasons, please make sure to shut and lock the windows and front door when you leave. *** Note: cancellations are subject to fees that are non refundable ***",2012-10-24,within an hour,100%,100%,t,1,Roslindale,Roslindale,,t,Condominium,Private room,2,1.0,1.0,2.0,Real Bed,"{""Wireless Internet"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo,Hangers,""Hair Dryer""}",12.0,58.0,,,2,$0.00,2,1125,65,96.0,f,f,moderate,5.36
9,"This is a cozy and spacious two bedroom unit with everything you need to make your stay a comfortable one.  A true ""home away from home.""  If available, combine with adjacent one bedroom unit to accommodate 6 people comfortably in beds.",,I'm available for questions anytime before or during your stay.  Do not hesitate to ask me anything.,"NO SMOKING OR PETS ANYWHERE ON THE PROPERTY 1. Be respectful of the other tenants 2. If you use the grill, be sure to turn off the gas 3. Notify the owner of any discrepancies or things not functioning properly immediately 4. Please treat carpet stains promptly (or notify the owner) 5. Kindly turn off lights, air conditioners, and other electrical items when they aren't needed",2012-12-18,within an hour,100%,100%,t,2,Roslindale,Roslindale,,t,Apartment,Entire home/apt,5,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,229.0,$200.00,$50.00,4,$25.00,4,10,33,94.0,f,f,strict,1.01
10,"The room is in a single family house located in a quite and safe neighborhood,  near business areas,  restaurants, shops, and close to the beautiful Arnold arboretum  with short  access to public transportation to downtown Boston,  about 20 min.",,,,2016-03-24,within a day,83%,100%,f,1,Roslindale,Roslindale,,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",Essentials,""Lock on Bedroom Door"",""Hair Dryer"",""translation missing: en.hosting_amenity_50""}",,60.0,,$30.00,1,$10.00,1,1125,1,80.0,f,f,flexible,0.36
