,summary,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,requires_license,instant_bookable,cancellation_policy,reviews_per_month
1,"Chemically sensitive? We've removed the irritants triggering allergy or asthma attacks, like carpeting, forced air & used pillows, all culprits that harbor fungus, mold & bacteria.  No smoking, no pets.  Designed for healthy living, so breathe easy.",2013-02-21,within an hour,98%,100%,t,6.0,Queen Anne,West Queen Anne,Queen Anne,t,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",,150.0,$100.00,$40.00,1,$0.00,2,90,43,96.0,f,f,strict,1.48
2,"New modern house built in 2013.  Spectacular sunset/water views and light, rooftop deck and lounge area, hot tub, 5 bedrooms, gourmet kitchen.  Perfect for 2-3 families, walk to downtown.  Located in highly desirable Queen Anne neighborhood.",2014-06-12,within a few hours,67%,100%,f,2.0,Queen Anne,West Queen Anne,Queen Anne,t,House,Entire home/apt,11,4.5,5.0,7.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",,975.0,"$1,000.00",$300.00,10,$25.00,4,30,20,97.0,f,f,strict,1.15
4,"Cozy family craftman house in beautiful neighborhood of Queen Anne, Seattle, Washinton. 3 bedrooms, can accomodate up to 6 people. 1,200 sq. feet space is your oasis. Perfect location!",2011-11-29,within an hour,100%,,f,2.0,Queen Anne,West Queen Anne,Queen Anne,t,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",,450.0,$700.00,$125.00,6,$15.00,1,1125,38,92.0,f,f,strict,0.89
5,"We're renting out a small private unit of one of Seattle's most beautiful houses to creative travelers.  The unit has it's own entrance to give you privacy in a cozy room with a new bed, great view/light, antiques and a newly remodeled bathroom.",2010-12-25,,,,f,1.0,Queen Anne,West Queen Anne,Queen Anne,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",Essentials,Shampoo}",,120.0,,$40.00,1,$30.00,1,6,17,95.0,f,f,strict,2.45
6,"Enjoy a quiet stay in our comfortable 1915 Craftsman bungalow in the West Queen Anne neighborhood. Street parking (free near entry), coffee, bakeries and neighborhood cafes nearby.  Close to Upper QA shopping district, Seattle Center and bus stops.",2012-05-30,within an hour,100%,100%,t,1.0,Queen Anne,West Queen Anne,Queen Anne,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo}",,80.0,$150.00,,1,$10.00,3,14,58,99.0,f,f,moderate,2.46
7,"Our tiny cabin is private , very quiet and comfortable spot just for two. The bus is just across the street. Queen Anne ,Ballard and Downtown are a short bus ride. High Speed WI-FI. The bathroom is shared by our guests .",2012-10-30,within an hour,100%,100%,t,5.0,Queen Anne,West Queen Anne,Queen Anne,t,Cabin,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Essentials,Shampoo}",,60.0,$150.00,$25.00,1,$0.00,2,7,173,97.0,f,f,strict,4.73
8,"Nestled in the heart of the city, this space is turn of the century charm meets urban living; with gorgeous city views, nightlife, shopping, and restaurants within blocks.  Walking Score: 92",2012-04-18,,,100%,f,1.0,Queen Anne,West Queen Anne,Queen Anne,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",,90.0,,,1,$0.00,3,1125,8,97.0,f,f,strict,1.22
9,"Beautiful apartment in an extremely safe, quiet and pedestrian-friendly section of Queen Anne.  A leafy-green location that puts the best of Seattle at your doorstep. Free WiFi, free parking, ...even free pillows!*  ",2013-02-21,within an hour,98%,100%,t,6.0,Queen Anne,West Queen Anne,Queen Anne,t,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",,150.0,$100.00,$40.00,1,$0.00,2,365,32,97.0,f,f,strict,1.55
10,"Queen Anne Hill is a charming neighborhood with historic old homes, located just up the hill from The Seattle Center: close enough to be convenient to everything, yet just far enough away from the traffic, hubbub and commotion of downtown!",2010-09-19,within a few hours,100%,100%,t,1.0,Queen Anne,West Queen Anne,Queen Anne,t,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,95.0,,$15.00,2,$15.00,3,7,181,97.0,f,f,moderate,3.33
11,"Beautifully furnished, cozy 1 bedroom mid century modern Craftsman house in Upper Queen Anne. 850 sqft - queen sz bed, large closet, huge dining table, comfy living room, bathtub, fully furnished kitchen, outdoor patio. VERY walkable neighborhood!",2013-01-06,within a few hours,100%,100%,f,1.0,Queen Anne,West Queen Anne,Queen Anne,t,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",,99.0,$500.00,$150.00,1,$0.00,3,1125,8,97.0,f,f,strict,0.98
